utc_time_id,source_id,primary_link_source_flag,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,avg_travel_time,high_quality_samples,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_25pct_ff,samples_below_20pct_ff
01/07/2016 1:55,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
27/07/2016 14:41,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
03/01/2016 18:18,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
01/04/2016 20:31,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
02/06/2016 19:49,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
17/08/2016 14:00,402261,11,0.065,71,13,0.0972,65,5,0.0706,38,,,,,,,,,,,,,,,
04/07/2016 4:51,402270,1,0.01,78,4,0.03,65,3,0.02,71,0,0,0,,,,,,,,,,,,
18/06/2016 22:17,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
19/05/2016 12:12,402265,10,0.0694,65,10,0.11,65,8,0.09,65,,,,,,,,,,,,,,,
08/06/2016 7:49,402270,1,0,71,1,0.01,78,1,0.01,54,0,0,0,,,,,,,,,,,,
11/08/2016 16:33,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
30/03/2016 9:27,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
30/03/2016 17:22,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
03/06/2016 0:28,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28/01/2016 4:46,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28/01/2016 13:13,402270,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
30/03/2016 18:03,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/07/2016 23:16,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
